date,member_count,required_member_count,status
2012-01-02,0,200,BLOCKED
2012-01-03,0,200,BLOCKED
2012-01-04,0,200,BLOCKED
2012-01-05,0,200,BLOCKED
2012-01-06,0,200,BLOCKED
2012-01-09,0,200,BLOCKED
2012-01-10,0,200,BLOCKED
2012-01-11,0,200,BLOCKED
2012-01-12,0,200,BLOCKED
2012-01-13,0,200,BLOCKED
2012-01-16,0,200,BLOCKED
2012-01-17,0,200,BLOCKED
2012-01-18,0,200,BLOCKED
2012-01-19,0,200,BLOCKED
2012-01-20,0,200,BLOCKED
2012-01-23,0,200,BLOCKED
2012-01-24,0,200,BLOCKED
2012-01-25,0,200,BLOCKED
2012-01-27,0,200,BLOCKED
2012-01-30,0,200,BLOCKED
2012-01-31,0,200,BLOCKED
2012-02-01,0,200,BLOCKED
2012-02-02,0,200,BLOCKED
2012-02-03,0,200,BLOCKED
2012-02-06,0,200,BLOCKED
2012-02-07,0,200,BLOCKED
2012-02-08,0,200,BLOCKED
2012-02-09,0,200,BLOCKED
2012-02-10,0,200,BLOCKED
2012-02-13,0,200,BLOCKED
2012-02-14,0,200,BLOCKED
2012-02-15,0,200,BLOCKED
2012-02-16,0,200,BLOCKED
2012-02-17,0,200,BLOCKED
2012-02-21,0,200,BLOCKED
2012-02-22,0,200,BLOCKED
2012-02-23,0,200,BLOCKED
2012-02-24,0,200,BLOCKED
2012-02-27,0,200,BLOCKED
2012-02-28,0,200,BLOCKED
2012-02-29,0,200,BLOCKED
2012-03-01,0,200,BLOCKED
2012-03-02,0,200,BLOCKED
2012-03-05,0,200,BLOCKED
2012-03-06,0,200,BLOCKED
2012-03-07,0,200,BLOCKED
2012-03-09,0,200,BLOCKED
2012-03-12,0,200,BLOCKED
2012-03-13,0,200,BLOCKED
2012-03-14,0,200,BLOCKED
2012-03-15,0,200,BLOCKED
2012-03-16,0,200,BLOCKED
2012-03-19,0,200,BLOCKED
2012-03-20,0,200,BLOCKED
2012-03-21,0,200,BLOCKED
2012-03-22,0,200,BLOCKED
2012-03-23,0,200,BLOCKED
2012-03-26,0,200,BLOCKED
2012-03-27,0,200,BLOCKED
2012-03-28,0,200,BLOCKED
2012-03-29,0,200,BLOCKED
2012-03-30,0,200,BLOCKED
2012-04-02,0,200,BLOCKED
2012-04-03,0,200,BLOCKED
2012-04-04,0,200,BLOCKED
2012-04-09,0,200,BLOCKED
2012-04-10,0,200,BLOCKED
2012-04-11,0,200,BLOCKED
2012-04-12,0,200,BLOCKED
2012-04-13,0,200,BLOCKED
2012-04-16,0,200,BLOCKED
2012-04-17,0,200,BLOCKED
2012-04-18,0,200,BLOCKED
2012-04-19,0,200,BLOCKED
2012-04-20,0,200,BLOCKED
2012-04-23,0,200,BLOCKED
2012-04-24,0,200,BLOCKED
2012-04-25,0,200,BLOCKED
2012-04-26,0,200,BLOCKED
2012-04-27,12,200,BLOCKED
2012-04-30,12,200,BLOCKED
2012-05-02,12,200,BLOCKED
2012-05-03,12,200,BLOCKED
2012-05-04,12,200,BLOCKED
2012-05-07,12,200,BLOCKED
2012-05-08,12,200,BLOCKED
2012-05-09,12,200,BLOCKED
2012-05-10,12,200,BLOCKED
2012-05-11,12,200,BLOCKED
2012-05-14,12,200,BLOCKED
2012-05-15,12,200,BLOCKED
2012-05-16,12,200,BLOCKED
2012-05-17,12,200,BLOCKED
2012-05-18,12,200,BLOCKED
2012-05-21,12,200,BLOCKED
2012-05-22,12,200,BLOCKED
2012-05-23,12,200,BLOCKED
2012-05-24,12,200,BLOCKED
2012-05-25,12,200,BLOCKED
2012-05-28,12,200,BLOCKED
2012-05-29,12,200,BLOCKED
2012-05-30,12,200,BLOCKED
2012-05-31,12,200,BLOCKED
2012-06-01,12,200,BLOCKED
2012-06-04,12,200,BLOCKED
2012-06-05,12,200,BLOCKED
2012-06-06,12,200,BLOCKED
2012-06-07,12,200,BLOCKED
2012-06-08,12,200,BLOCKED
2012-06-11,12,200,BLOCKED
2012-06-12,12,200,BLOCKED
